Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Scaled,ScaledSD,Gen 0,Gen 1,Allocated
Utf8JsonSerializer,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,250.03 ns,19.578 ns,1.1062 ns,1.00,0.00,0.0277,-,176 B
SpreadsJsonSerializer,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,156.40 ns,10.736 ns,0.6066 ns,0.63,0.00,0.0279,-,176 B
MessagePackCSharp,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,80.65 ns,14.930 ns,0.8436 ns,0.32,0.00,0.0101,-,64 B
MessagePackCSharpContractless,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,143.62 ns,7.962 ns,0.4499 ns,0.57,0.00,0.0226,-,144 B
Protobufnet,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,478.21 ns,32.458 ns,1.8339 ns,1.91,0.01,0.0887,-,560 B
Jil,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,504.32 ns,10.025 ns,0.5664 ns,2.02,0.01,0.2317,-,1464 B
JilTextWriter,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,691.25 ns,72.427 ns,4.0923 ns,2.76,0.02,0.9184,0.0010,5784 B
NetJson,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,527.21 ns,26.516 ns,1.4982 ns,2.11,0.01,0.1326,-,840 B
JsonNet,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,"1,491.23 ns",138.066 ns,7.8010 ns,5.96,0.03,0.3147,-,1984 B
