Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Scaled,ScaledSD,Gen 0,Gen 1,Allocated
Utf8JsonSerializer,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,377.66 ns,40.39 ns,2.2820 ns,1.00,0.00,0.0072,-,48 B
SpreadsJsonSerializer,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,182.41 ns,59.22 ns,3.3458 ns,0.48,0.01,0.0074,-,48 B
MessagePackCSharp,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,77.99 ns,11.51 ns,0.6505 ns,0.21,0.00,0.0075,-,48 B
MessagePackCSharpContractless,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,162.18 ns,13.60 ns,0.7682 ns,0.43,0.00,0.0088,-,56 B
Protobufnet,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,334.45 ns,22.45 ns,1.2683 ns,0.89,0.01,0.0186,-,120 B
Jil,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,712.01 ns,49.59 ns,2.8017 ns,1.89,0.01,0.0734,-,464 B
JilTextReader,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,"1,063.17 ns",43.06 ns,2.4330 ns,2.82,0.01,0.5531,0.0019,3488 B
JsonNet,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,"2,830.16 ns",218.77 ns,12.3612 ns,7.49,0.05,0.5188,-,3288 B
NetJson,ShortRun,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,.NET Core 2.1,Default,1,3,Default,1,Default,Default,Default,Default,Default,16,3,"1,171.22 ns",137.34 ns,7.7598 ns,3.10,0.02,0.1621,-,1032 B
